ocid,id,contracts/0/id,contracts/0/suppliers/0/id,contracts/0/suppliers/0/name
ocds-lcuori-120978,ocds-lcuori-120978/3-contract,120978,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120979,ocds-lcuori-120979/3-contract,120979,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-120984,ocds-lcuori-120984/3-contract,120984,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120985,ocds-lcuori-120985/3-contract,120985,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-120986,ocds-lcuori-120986/3-contract,120986,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120987,ocds-lcuori-120987/3-contract,120987,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-120988,ocds-lcuori-120988/3-contract,120988,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120989,ocds-lcuori-120989/3-contract,120989,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120990,ocds-lcuori-120990/3-contract,120990,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-120991,ocds-lcuori-120991/3-contract,120991,HN-RTN-08019001228290,"""A Z COMERCIAL S DE R.L."""
ocds-lcuori-120992,ocds-lcuori-120992/3-contract,120992,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-120993,ocds-lcuori-120993/3-contract,120993,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120995,ocds-lcuori-120995/3-contract,120995,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-120996,ocds-lcuori-120996/3-contract,120996,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-120997,ocds-lcuori-120997/3-contract,120997,HN-RTN-08019006034679,Empresa Tecnologias ATM  S de R.L.
ocds-lcuori-120998,ocds-lcuori-120998/3-contract,120998,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121005,ocds-lcuori-121005/3-contract,121005,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-121002,ocds-lcuori-121002/3-contract,121002,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121008,ocds-lcuori-121008/3-contract,121008,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121007,ocds-lcuori-121007/3-contract,121007,HN-RTN-08019011442659,Distribuidora Cummins Centroamerica S de R.L.
ocds-lcuori-121009,ocds-lcuori-121009/3-contract,121009,HN-RTN-08019002261399,REPREQUIMICA
ocds-lcuori-121011,ocds-lcuori-121011/3-contract,121011,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-121012,ocds-lcuori-121012/3-contract,121012,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121013,ocds-lcuori-121013/3-contract,121013,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121021,ocds-lcuori-121021/3-contract,121021,HN-RTN-05029995001355,"Yip Supermercados, S. A. de C. V."
ocds-lcuori-121016,ocds-lcuori-121016/3-contract,121016,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121017,ocds-lcuori-121017/4-contract,121017,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121018,ocds-lcuori-121018/4-contract,121018,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121019,ocds-lcuori-121019/4-contract,121019,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121023,ocds-lcuori-121023/3-contract,121023,HN-RTN-08019995290621,DISPROA S. DE R.L. 
ocds-lcuori-121020,ocds-lcuori-121020/4-contract,121020,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121027,ocds-lcuori-121027/3-contract,121027,HN-RTN-08019001228290,"""A Z COMERCIAL S DE R.L."""
ocds-lcuori-121028,ocds-lcuori-121028/3-contract,121028,HN-RTN-08019995304450,"FORMULAS QUIMICAS, S DE R.L."
ocds-lcuori-121029,ocds-lcuori-121029/3-contract,121029,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-121030,ocds-lcuori-121030/3-contract,121030,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121034,ocds-lcuori-121034/3-contract,121034,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-121035,ocds-lcuori-121035/3-contract,121035,HN-RTN-08019995304450,"FORMULAS QUIMICAS, S DE R.L."
ocds-lcuori-121037,ocds-lcuori-121037/3-contract,121037,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-121039,ocds-lcuori-121039/3-contract,121039,HN-RTN-08019998391040,"Papeleria Honduras, S. de R.L. "
ocds-lcuori-121041,ocds-lcuori-121041/3-contract,121041,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-121043,ocds-lcuori-121043/3-contract,121043,HN-RTN-08019995304450,"FORMULAS QUIMICAS, S DE R.L."
ocds-lcuori-121044,ocds-lcuori-121044/3-contract,121044,HN-RTN-17071984005643,DISTRIBUIDORA CHOROTEGA
ocds-lcuori-121040,ocds-lcuori-121040/3-contract,121040,HN-RTN-08019011442659,Distribuidora Cummins Centroamerica S de R.L.
ocds-lcuori-121045,ocds-lcuori-121045/3-contract,121045,HN-RTN-08011986138652, WILMAN DANILO MORALES ZELAYA/DISTRIBUCIONES VALENCIA 
ocds-lcuori-121047,ocds-lcuori-121047/3-contract,121047,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-121048,ocds-lcuori-121048/3-contract,121048,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-121046,ocds-lcuori-121046/3-contract,121046,HN-RTN-05019002064370,Agencia Matamoros S de R.L.
ocds-lcuori-121051,ocds-lcuori-121051/3-contract,121051,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
ocds-lcuori-121052,ocds-lcuori-121052/3-contract,121052,HN-RTN-05019000040204,"Pacasa, S. de C.V. "
ocds-lcuori-121053,ocds-lcuori-121053/3-contract,121053,HN-RTN-08019008165911,"RENDILLANTAS, S. A. DE C. V.?"
